,material_id,energy_per_atom,Space Group,a,b,c,alpha,beta,gamma,C
25,C-177264-2024-14,-154.17584375,10,2.47126,5.312710000000001,4.8098,111.27787000000001,120.76299000000002,89.66479,8.0
26,C-9592-5537-24,-154.32579,12,3.3936,3.4015400000000002,4.11528,78.54630999999999,101.45376,86.12945000000002,8.0
27,C-104334-7299-44,-154.22624444444443,1,4.550839999999999,3.65341,8.99029,74.89330999999999,71.89721000000002,97.70929,18.0
28,C-92124-4005-36,-154.31160483333335,12,2.48102,3.69022,4.84442,57.39669,75.0844,70.2878,6.0
29,C-176661-8591-46,-154.30967266666667,2,2.48158,3.68816,4.2196,74.9506,89.90189,70.3462,6.0
30,C-72701-1899-2,-154.252398,1,2.9492799999999995,4.8375,5.76354,66.20084000000001,100.36573,88.36475,10.0
31,C-176679-1286-38,-154.54276683333333,227,2.4876199999999997,2.48761,6.57671,67.74614,79.08109,59.98402,6.0
32,C-102915-7408-31,-154.46037,12,2.43087,4.07727,6.79703,108.95262999999998,115.18718999999999,86.84643,8.0
33,C-76008-2415-39,-154.24742,1,2.46312,4.98771,6.69667,63.38295,100.60575,90.0141,12.0
34,C-90796-891-29,-154.200935,2,4.67808,3.7846499999999996,4.29654,89.15994,124.47009,107.39485,8.0
35,C-96663-8819-13,-154.254901,1,2.43911,4.22873,6.52398,89.76256,79.23673,90.00714000000002,10.0
36,C-96672-9795-27,-154.297055,51,2.48312,3.63064,7.32306,119.73560000000002,90.00217,89.9992,10.0
37,C-9620-6892-54,-154.42720125,12,2.9791300000000005,4.30411,4.84998,84.72388,82.11366,67.72619,8.0
38,C-176685-9184-37,-154.120246,2,3.64211,3.42975,4.83023,122.66702,67.64276,119.87713999999998,6.0
39,C-73631-2702-49,-154.43651875,2,3.08656,3.9948400000000004,5.58715,82.23913,119.85024999999999,108.51357,8.0
40,C-96682-5217-47,-154.42605233333333,2,3.66152,4.2026,4.19798,119.97028000000002,128.05131,77.81593,6.0
41,C-53820-5674-34,-154.193535,6,2.4848100000000004,4.1746,6.1773,90.00153,113.90048000000002,90.02744,10.0
42,C-157717-1262-39,-154.252138,1,2.45217,3.3325,9.40976,84.21950000000001,90.02416,68.20707000000002,10.0
43,C-176654-3153-49,-154.18036,12,2.44808,5.85555,5.58182,59.76776000000001,77.30729,65.25587,10.0
44,C-9646-232-63,-154.36781375,8,2.4846199999999996,4.6777999999999995,4.08675,96.68474,89.99540000000002,105.44199,8.0
45,C-152587-3980-5,-154.26037300000002,1,3.27774,3.27937,5.56821,89.67002,89.66048,81.14487,10.0
46,C-177280-5724-23,-154.08288375,1,2.45885,5.776,7.55007,60.075,81.91673,87.22127,16.0
47,C-90811-1769-2,-154.11650749999998,1,3.30757,4.27802,7.10948,54.14623,61.2089,73.85797,12.0
48,C-13893-8599-30,-154.14665116666666,12,3.62367,2.83337,4.81797,84.90278,112.08675,97.55562,6.0
49,C-150699-6622-10,-154.181727,1,2.45637,7.11258,7.73614,65.77301,99.27453,83.55453,20.0
50,C-34643-7107-42,-154.36224625,10,2.4875599999999998,4.7629399999999995,5.31212,63.09856,62.09592,58.480799999999995,8.0
51,C-157691-3994-32,-154.107372,1,2.4542399999999995,4.47124,7.05104,87.39195,80.93604,75.78663999999999,10.0
52,C-80191-3962-6,-154.12251,2,3.4403200000000003,4.837199999999999,4.25193,90.05547,90.06837,134.86614,8.0
53,C-189709-289-43,-154.07497283333333,2,2.44094,2.54908,7.71005,118.02238000000001,73.25978,87.14599,6.0
54,C-170898-6159-52,-154.4464475,2,3.0907099999999996,4.85615,4.74049,105.47607000000002,106.75225000000002,112.10975000000002,8.0
55,C-57133-9728-38,-154.251485,1,2.43888,4.831249999999999,8.76224,85.06958,82.04823,59.656220000000005,12.0
56,C-73671-1897-10,-154.2862025,12,2.45636,3.6619600000000005,6.47468,73.11503,79.03665,70.4384,8.0
57,C-172967-546-37,-154.31643983333333,12,2.47969,3.6891400000000005,4.89598,92.80397000000002,120.46398,109.61830000000002,6.0
58,C-13919-5282-28,-154.243904,65,2.49377,5.58591,5.58147,60.34651,63.494450000000015,63.508480000000006,10.0
59,C-136210-9760-32,-154.44786066666668,12,3.0738899999999996,2.43105,6.40838,79.30188,80.45686000000002,108.55747,6.0
60,C-176683-1873-9,-154.54566766666667,227,2.48734,3.51754,4.30524,114.10426,106.7983,89.98361000000001,6.0
61,C-152601-7805-20,-154.07778916666666,1,2.45505,2.53411,6.38348,97.05969999999999,90.78106999999999,88.28706999999999,6.0
62,C-80195-4794-23,-154.52300125,194,2.47344,4.11774,4.28084,90.01627,90.02133,90.05664000000002,8.0
63,C-72716-3406-31,-154.3085715,12,2.48133,3.6885,4.21732,104.90405,89.96525,109.64933,6.0
64,C-102875-8418-52,-154.225675,12,2.43219,4.22553,4.81571,97.71599000000002,75.39092,106.68976000000002,8.0
65,C-13911-8164-43,-154.3136125,2,2.48163,3.68952,4.84298,122.57435000000001,75.1076,109.67241,6.0
66,C-13691-2934-46,-154.06815875,2,2.5272299999999994,4.29869,5.3986,121.08768000000002,110.98258,84.94964000000002,8.0
67,C-136247-3248-43,-154.53312350000002,5,2.47711,2.47756,6.77864,89.98553999999999,111.41276000000002,120.04054,6.0
68,C-176685-9184-46,-154.10971750000002,2,2.7052,4.31972,4.81317,109.30314000000001,88.80719,122.94162,6.0
69,C-28264-8801-10,-154.140354,2,4.39822,4.26598,5.94355,108.59142,112.23788000000002,120.87944999999999,10.0
70,C-189748-4840-35,-154.1441335,2,2.82869,3.62617,4.81526,67.88668,87.9196,95.63861000000001,6.0
71,C-172971-7940-1,-154.42551716666665,2,2.99226,4.21033,4.20638,119.96836,80.8099,113.55317,6.0
72,C-157715-9420-2,-154.180409,2,2.45251,5.76904,4.11436,51.52309,90.05447000000001,101.93249000000002,6.0
73,C-40100-7984-28,-154.52698866666665,8,2.4777,2.47796,6.31085,89.99148000000001,101.32183,120.02738999999997,6.0
74,C-126136-4977-23,-154.095733,1,2.48272,3.7827800000000003,7.99338,109.52079000000002,108.07398,89.93674000000001,10.0
75,C-40134-7379-39,-154.31236666666666,12,2.48175,4.8461799999999995,3.69051,57.319100000000006,70.346,75.21913,6.0
76,C-56495-4082-46,-154.13006125,2,2.50862,4.289389999999999,5.06301,79.65818999999999,111.01867,115.18573,8.0
77,C-145340-6787-32,-154.52737125,194,2.4745099999999995,4.28168,4.80552,116.48150000000003,104.91835,90.01009,8.0
78,C-107717-3127-38,-154.46678625,12,2.4275999999999995,4.79968,6.38069,77.77364,92.87337,55.085249999999995,8.0
79,C-107717-3127-49,-154.2734825,2,4.83862,4.7531,4.91688,117.87696,85.09085,118.38205,12.0
80,C-157691-3994-11,-154.16077083333332,2,2.4667100000000004,3.38116,5.2488,89.19435,89.90303,111.23058,6.0
81,C-189700-5976-30,-154.308633,2,2.48107,3.6892799999999997,4.21691,104.81997000000001,89.94189,109.64361000000001,6.0
82,C-96684-2672-5,-154.43499266666666,1,2.43223,3.00807,6.40374,86.18147,79.30034000000002,108.91548,6.0
83,C-141043-2496-23,-154.217487,2,3.79959,2.4639199999999994,8.64186,73.50988,57.987,71.09409,10.0
84,C-80155-5756-52,-154.2842425,12,2.45636,3.66418,6.97166,113.56481,110.60801,70.43198,8.0
85,C-53818-5632-35,-154.23603383333332,5,2.4225,4.17024,4.82289,94.34985,119.94846000000001,89.67668,6.0
86,C-40091-1213-7,-154.307399,12,2.48021,3.68863,4.21763,75.21604,89.99223000000002,70.33647,6.0
87,C-172941-6659-36,-154.29656316666666,63,2.4255,4.85187,6.35485,41.41342,67.6974,60.08476000000001,6.0
88,C-152591-5216-36,-154.120229,1,2.45594,4.498859999999999,7.10749,93.62258000000001,79.96008000000002,105.97858000000001,10.0
89,C-28230-7089-27,-154.0859575,2,3.35885,3.3888599999999998,4.83168,84.65687000000001,59.6238,65.49027,6.0
90,C-57111-4456-17,-154.22301625,1,2.56905,4.9455,7.62331,89.98828,89.35966,90.00717000000002,16.0
91,C-34627-4459-50,-154.08448125,1,4.34027,3.70003,4.81909,102.38702999999998,89.21737000000002,127.20494,8.0
92,C-40128-4097-20,-154.527101,166,2.47853,2.47814,6.77783,68.56487,68.54572,59.97219,6.0
93,C-107734-9364-54,-154.09498875,2,2.52326,4.45463,4.30678,76.91974,85.32772,97.58778,8.0
94,C-47642-4937-56,-154.068704375,1,2.4472,6.561279999999999,7.58442,76.82001,107.58771,105.5152,16.0
95,C-92160-9421-10,-154.1941192857143,1,2.45461,4.77572,7.028,82.205,81.8703,79.30428,14.0
96,C-172961-4783-9,-154.092769,1,3.41493,3.4163199999999994,5.41215,98.86820999999999,98.83194000000002,93.908,10.0
97,C-28224-863-14,-154.213322,1,2.46318,3.7986100000000005,7.36945,90.12669,80.38326,108.93463000000001,10.0
98,C-28232-5757-44,-154.4491325,12,2.43212,4.253660000000001,4.30464,82.95722,80.00516,83.81943,6.0
99,C-56475-1508-55,-154.2219875,12,2.4842,3.8236199999999996,5.98137,59.64674999999999,78.04467,71.03316,8.0
100,C-92160-9421-19,-154.12885166666666,2,3.28224,3.6421,5.23874,52.623870000000004,64.11607,65.08558000000001,6.0
101,C-75999-4861-8,-154.46613875,2,2.4325500000000004,4.310620000000001,6.11025,73.84051,81.44792000000001,102.15589000000001,8.0
102,C-136223-1797-41,-154.23362600000002,5,2.48397,3.9258100000000002,6.87519,66.19638,90.03405,71.56911,10.0
103,C-106833-6336-38,-154.51992875,194,2.47381,4.28124,4.80173,90.02054000000001,120.99541999999998,89.98058000000002,8.0
104,C-90849-4956-27,-154.54236625,227,2.4874300000000003,4.30129,4.30391,80.46422,89.94857,106.74786,8.0
105,C-34613-7933-19,-154.5256625,194,2.4739200000000006,4.1176,4.28208,90.00233,90.0019,90.00297,8.0
106,C-113034-7981-32,-154.4087525,65,2.47546,4.789939999999999,4.7974,51.75103,89.98586,89.95778,8.0
107,C-184054-4402-46,-154.31641316666665,12,2.47995,3.68752,4.89646,93.01804,120.41969000000002,109.62088000000001,6.0
108,C-73649-6461-1,-154.28619,1,2.45682,3.66566,6.40418,74.60503,90.06010000000002,109.6557,8.0
109,C-28258-8310-53,-154.0711796666667,1,2.57449,3.6446199999999997,5.385,109.12215000000002,63.65885000000001,88.85808,6.0
110,C-134171-9685-4,-154.45355583333333,1,2.4324200000000005,4.20261,9.11955,111.87966000000002,94.74723,90.06036,12.0
111,C-75997-4752-22,-154.20857125,1,3.66702,4.676720000000001,3.77795,72.37786,77.55787,89.56012000000001,8.0
112,C-40095-5757-10,-154.16841466666668,1,2.4636599999999995,3.39279,5.28789,93.30115,90.00827,111.17178,6.0
113,C-28242-4049-23,-154.30972066666666,12,4.21964,2.4802800000000005,3.68915,109.67281,104.86498000000002,90.00683,6.0
114,C-176639-8613-32,-154.15301357142857,1,2.44939,6.16201,6.43184,84.81253999999998,90.05709000000002,87.49483999999998,14.0
115,C-136227-7658-32,-154.30849266666667,2,2.4805100000000007,3.6890999999999994,4.21835,104.80038,90.00178,109.65161,6.0
116,C-136255-5449-45,-154.44000333333335,12,2.42991,3.3831700000000002,5.81268,83.98002999999999,88.87484,66.83227000000001,6.0
117,C-13665-1988-12,-154.2398375,6,2.50195,2.4703399999999998,7.78838,89.99845999999998,89.63699000000001,90.0428,8.0
118,C-96690-1826-36,-154.21083714285714,1,2.5093700000000005,4.394979999999999,7.66569,83.69176,75.60214,76.84357,14.0
119,C-142746-5299-35,-154.44298375,1,3.05261,2.4294599999999997,8.90986,112.73045000000002,102.98627999999998,70.22628,8.0
120,C-13897-9657-30,-154.28546516666668,63,2.47515,4.24856,3.72233,64.03555,90.03707,90.02015,6.0
121,C-189738-7344-32,-154.28025357142857,1,2.43941,6.40969,8.64321,132.10126,89.98964,100.97332000000002,14.0
122,C-193932-9509-10,-154.19817483333333,69,2.49146,3.5937599999999996,4.35359,95.70407,106.61224,69.66744,6.0
123,C-80150-2770-46,-154.4615475,1,2.43281,3.11451,8.38313,93.76125999999998,89.99964,113.35992000000002,8.0
124,C-136387-2750-21,-154.211338,1,2.4824000000000006,4.669290000000001,12.51338,88.71628,107.30958999999999,122.12324000000001,20.0
125,C-102881-6389-31,-154.08629083333332,1,2.5136299999999996,4.57742,6.39218,97.97624,99.61874,78.0464,12.0
126,C-189720-7233-18,-154.2517395,12,2.47229,3.2322099999999994,6.17439,57.045749999999984,78.439,67.52828,6.0
127,C-41298-1814-21,-154.41064933333334,178,3.5167199999999994,3.51709,3.31837,90.00491,90.00005,119.97961999999998,6.0
128,C-157672-8945-33,-154.23741285714286,2,3.82696,4.259800000000001,5.34739,77.7721,83.16413,65.95081,14.0
129,C-136204-3885-27,-154.53436833333333,8,2.4777000000000005,2.4779999999999998,6.77758,89.9699,111.41292999999999,120.03091999999997,6.0
130,C-157701-8688-48,-154.47211383333334,2,2.43278,3.7833,4.91638,85.69225,103.88323000000001,90.81803000000001,6.0
131,C-9606-4988-52,-154.27129583333334,1,2.5038100000000005,4.8059,6.30016,101.67338999999998,78.3866,105.1962,12.0
132,C-9603-8567-32,-154.07567125,2,3.75191,3.42343,6.13399,116.76189000000001,110.69416,103.47037999999999,8.0
133,C-102757-2964-20,-154.16737944444446,1,2.44609,6.096830000000001,8.1686,93.4558,91.39944,101.63891,18.0
134,C-73615-2489-32,-154.44281625,12,2.4297599999999995,4.68358,5.66762,108.26089,101.09371,103.75078999999998,8.0
135,C-134216-4713-23,-154.44681125,1,3.0349800000000005,2.4306699999999997,8.74425,106.19809,69.98093,93.16328,8.0
136,C-130526-2423-26,-154.15588616666668,51,2.48126,3.74201,5.36218,134.18654,89.95073,90.00598,6.0
137,C-141045-9787-20,-154.13277,1,2.43623,5.238169999999999,6.06877,100.95503,119.48772,95.76404,10.0
138,C-134216-4713-46,-154.1549425,65,2.45388,5.61736,5.61378,93.16155,64.01457,64.07371000000003,8.0
139,C-134208-315-21,-154.17687083333334,1,2.4708,4.78546,7.27035,104.06870000000002,100.4513,119.19443999999999,12.0
140,C-107752-5318-33,-154.32447916666666,5,2.48743,3.87789,7.12612,86.01934,100.0442,89.99319,12.0
141,C-145329-3191-34,-154.12022333333334,1,2.4522,4.510840000000001,7.05632,81.00646000000002,110.35649,105.76447,12.0
142,C-184058-8674-44,-154.31216933333334,12,2.4814,3.68973,4.89494,67.05427,59.53727000000001,70.34339,6.0
143,C-152591-5216-9,-154.1021795,2,3.37845,3.42014,4.23965,77.23388,77.76896,64.91018,6.0
144,C-184040-7075-20,-154.16437416666668,1,2.4631199999999995,3.3940800000000007,5.2879,86.51638,89.96682,68.72421000000001,6.0
145,C-76004-9092-18,-154.08826,2,3.7016099999999996,4.94093,4.20289,98.58947,68.58177,57.054739999999995,8.0
146,C-184068-6075-16,-154.30983066666667,12,2.4797700000000003,3.68669,4.88874,93.00683,120.40573,109.59399,6.0
147,C-157672-8945-4,-154.09796183333333,12,2.67278,5.4721,4.81535,48.18517000000001,94.61146,118.44741999999998,6.0
148,C-137379-9907-58,-154.31875636363637,1,3.35885,3.41104,11.35136,85.72926,85.7567,90.48115,22.0
149,C-145323-1843-16,-154.325115,64,3.28408,3.2839,4.30252,89.99885,89.99823000000002,81.50396,8.0
150,C-53797-7447-3,-154.54243566666665,227,2.48835,2.48747,6.57806,79.033,112.2554,120.03913000000001,6.0
151,C-184064-8186-37,-154.18200016666665,12,2.5503,2.45986,6.29866,101.07056,103.24784,90.94754000000002,6.0
152,C-102905-3681-5,-154.42552583333332,12,2.42937,5.705959999999999,6.41366,83.79141,79.21036,100.99255000000001,12.0
153,C-130532-5775-1,-154.08246116666666,229,3.72806,3.72775,3.72671,109.46063,70.52303,70.50613000000001,6.0
154,C-13647-2599-58,-154.4439225,12,3.1411700000000002,4.56073,4.70047,92.27664,106.54507,62.99298,8.0
155,C-134164-924-45,-154.22365375,2,3.37554,4.07906,3.79134,108.57915,107.03174000000001,100.24964,8.0
156,C-80182-7828-11,-154.21592125,2,3.30764,4.21832,5.24449,113.88516,115.74334,49.86809,8.0
157,C-90835-6350-66,-154.42066,65,2.4774600000000007,4.84858,5.40066,124.38662,117.11164,59.76537,8.0
158,C-107727-1562-40,-154.44667625,2,2.4313699999999994,4.2028,5.63987,86.55377000000001,95.9543,89.81192000000001,8.0
159,C-134187-5202-29,-154.1894025,14,3.26533,3.42619,4.5448,71.35883,89.97969,89.96647,8.0
160,C-177230-2077-44,-154.119735,1,2.48714,7.23199,5.85578,102.77711,76.28023,94.05799,16.0
161,C-130534-5496-26,-154.25025,1,2.4331600000000004,7.583330000000001,7.19626,120.55868,84.75127000000002,65.87574,14.0
162,C-193928-6141-18,-154.20707283333334,1,2.45267,4.53659,5.89732,52.31837,77.81632000000002,105.32451,6.0
163,C-130526-2423-9,-154.5450085,227,2.48779,2.4882399999999993,6.57715,79.11043,100.90885,59.97397000000001,6.0
164,C-126151-6380-41,-154.31174216666668,12,2.4813,4.8393,3.68957,68.52724,70.32647,104.8153,6.0
165,C-170350-1491-40,-154.2434157142857,1,2.47829,4.19032,8.34244,90.28103,107.30461000000001,90.0002,14.0
166,C-72716-3406-49,-154.31521633333332,20,2.42798,6.32463,4.87995,41.90708000000001,60.09215,67.34634,6.0
167,C-136208-4716-4,-154.232507,71,2.51399,4.8113,4.18655,125.11557000000002,72.58128000000002,121.33062,6.0
168,C-76006-9814-50,-154.10060625,2,3.32642,3.36944,6.49887,61.01153,80.93013,68.14955000000002,8.0
169,C-189728-4378-37,-154.25328133333332,1,2.4695100000000005,3.23596,5.18,92.03094000000002,90.01302,112.49182999999998,6.0
170,C-145340-6787-7,-154.44788,2,2.42978,5.686910000000001,8.03174,52.471540000000005,93.94913000000001,83.38322000000001,12.0
171,C-40128-4097-16,-154.46268516666666,1,2.43177,4.653270000000001,3.99167,84.27592,89.55365,105.76977,6.0
172,C-47633-513-43,-154.0965,2,2.51973,4.72209,6.37742,70.95665,97.84838000000002,92.37277,12.0
173,C-107771-927-21,-154.31072416666666,12,3.6879100000000005,4.89475,4.96144,120.45558,109.63982,92.90754000000001,12.0
174,C-150723-6210-30,-154.103406,1,2.45505,4.41026,10.6733,92.54738,90.68876000000002,97.14553000000001,20.0
175,C-141031-4766-22,-154.14891083333333,51,2.4820200000000003,3.7390899999999996,3.84484,90.07402,89.97708000000002,89.96167,6.0
176,C-130499-1826-27,-154.54604783333335,227,2.48679,4.301749999999999,4.3019,131.75138,106.69568,73.29219,6.0
177,C-92126-8113-6,-154.08856516666663,12,2.60962,4.625649999999999,3.67768,113.41648,89.90145,75.49133,6.0
178,C-145340-6787-27,-154.16395125,42,3.3190199999999996,3.31912,4.88603,107.29761,107.29954,97.20347000000001,8.0
179,C-13933-5578-33,-154.46000616666666,2,2.43292,4.11191,4.4934,96.31511,102.88504,87.02145000000002,6.0
180,C-134158-3120-6,-154.14935166666666,2,3.7178000000000004,4.802449999999999,4.46479,73.61664000000002,77.79363000000001,70.10259999999998,12.0
181,C-76032-8953-54,-154.2120175,1,3.9594,4.05722,6.72051,117.38922,74.68392,111.96501000000002,12.0
182,C-130518-7047-8,-154.3112723333333,2,2.48142,4.21821,3.6891,104.76211,70.37339,90.02356,6.0
183,C-9586-1605-21,-154.18267375,1,2.45296,6.572400000000001,7.00769,87.67176,90.11364,79.22316000000001,16.0
184,C-13946-920-8,-154.203595,1,3.31174,4.838020000000001,5.09618,84.99724,65.62048000000001,96.65488999999998,10.0
185,C-92144-1112-24,-154.105448,1,2.4113299999999995,3.58618,9.12071,108.16272,89.73714,110.08327000000003,10.0
186,C-41273-2006-37,-154.398425,1,2.47502,4.927260000000001,5.94498,101.83419,102.03253,120.18816999999999,10.0
187,C-96678-2884-24,-154.4070842857143,5,2.48716,4.49817,7.71375,70.44142000000001,99.26744,106.04924000000001,14.0
188,C-76014-6220-44,-154.45758125,12,2.43186,3.20326,8.11152,89.58748,81.18915,68.42362000000001,8.0
189,C-28230-7089-18,-154.35747899999998,6,2.47408,5.46105,4.9067,90.01317,120.29567,89.9999,10.0
190,C-92148-9593-17,-154.15347583333332,2,3.17534,4.83259,3.61438,68.0514,76.97836,62.47615000000001,6.0
191,C-142827-3466-55,-154.1970990909091,1,2.46793,6.712070000000001,7.9685,72.54113999999998,86.08995000000002,87.83492,22.0
192,C-9622-7780-31,-154.11278625,6,2.53244,3.76534,6.28847,126.64758,90.51064999999998,89.76377000000001,8.0
193,C-148258-4740-14,-154.469975,12,4.20838,3.95644,4.76457,85.40325000000001,128.22638,108.75771,8.0
194,C-130512-5016-27,-154.275143,1,2.43768,4.237889999999999,8.14593,127.1634,98.64663,89.90405000000001,10.0
195,C-152607-7999-45,-154.272417,6,2.42631,4.17526,8.50673,86.99663,124.6103,89.83858,10.0
196,C-149237-396-17,-154.190153,1,2.4982199999999994,5.1425,10.606,80.38817,93.65338,59.83695000000001,20.0
197,C-113072-9570-57,-154.220245,12,2.48378,3.82449,6.93053,123.48919999999998,100.24602,108.97441000000002,8.0
198,C-184084-4554-7,-154.24406966666666,2,2.47295,3.2383599999999997,6.0057,59.34553,78.05282,67.46719,6.0
199,C-189703-1540-16,-154.4099195,178,3.51661,3.51759,3.31776,89.99868,90.00206000000001,119.99996000000002,6.0
200,C-136210-9760-15,-154.1559365,51,2.48285,3.7478200000000004,3.8407,89.98239000000001,89.99775,90.00998,6.0
201,C-141063-6212-2,-154.24639071428572,1,2.4619,4.23617,8.90347,79.63882,90.00562000000001,90.01036,14.0
202,C-193922-5339-23,-154.15632116666666,12,2.45999,3.4041399999999995,5.31872,96.2284,90.01221,111.30440000000002,6.0
203,C-113056-5626-48,-154.0908375,1,2.45866,4.564979999999999,6.96801,82.16228,74.04618,108.3759,12.0
204,C-170882-2973-34,-154.1661333333333,2,2.51418,4.58824,6.66484,69.90309,75.00102000000001,75.39403,12.0
205,C-53840-4050-28,-154.25597633333334,2,2.45068,4.62614,4.54054,94.10602,74.36659000000002,122.01314000000002,6.0
206,C-101107-3285-59,-154.19864277777776,1,2.52209,7.166950000000001,6.53317,85.61592999999999,82.60492999999998,61.60533,18.0
207,C-90800-1393-35,-154.5230925,194,2.47419,4.80367,4.8048,61.94080000000001,75.05895,104.89248,8.0
208,C-172914-2327-14,-154.139588,2,3.51285,4.197239999999999,5.33372,108.7688,117.33861,100.78376,10.0
209,C-170908-5383-27,-154.35843125,10,2.48733,4.69569,5.29233,47.49041,90.00243,90.00427,8.0
210,C-56485-2380-44,-154.09670375,2,2.523,4.45535,5.45119,50.30562,99.88805,97.5822,8.0
211,C-101121-514-62,-154.22158875,1,2.5013,7.29426,8.36104,96.09339999999999,107.39054,99.85409,24.0
212,C-57120-3338-23,-154.077915,1,2.46412,5.61488,6.76744,91.87963,82.66266000000002,97.02290000000002,16.0
213,C-40102-7970-27,-154.28658616666667,63,2.47543,3.722789999999999,4.24867,64.01331,89.98737,89.9545,6.0
214,C-137399-7235-5,-154.1761827777778,1,2.47956,6.91585,6.7302,101.72383,111.61293000000002,90.03826,18.0
215,C-170908-5383-14,-154.2349775,2,2.49919,4.26059,5.15198,61.00097,89.86721,89.99839000000001,8.0
216,C-34631-1494-53,-154.12461875,74,2.50848,3.41731,6.35741,97.9641,90.00822,111.56014,8.0
217,C-57137-3912-36,-154.24644,8,2.42896,4.1563,6.21083,72.45216000000002,78.78253000000001,89.93005,8.0
218,C-130540-5836-49,-154.12712183333335,2,2.7955,4.32512,5.87344,53.98315999999999,54.65257,56.40809999999999,6.0
219,C-176635-5996-20,-154.20805142857142,1,2.462,6.130550000000001,6.63125,115.23306,79.2826,101.58422,14.0
220,C-40140-2962-32,-154.33966600000002,38,2.48065,5.039390000000001,5.04076,65.65293,89.98686,89.99052000000002,10.0
221,C-193930-7354-10,-154.08188316666667,2,2.67864,4.32591,4.80187,110.23289,87.00398,123.06429,6.0
222,C-107760-8155-1,-154.263,11,2.53149,4.80116,4.15929,89.98522000000001,90.21181,74.02886,8.0
223,C-170333-3244-8,-154.136592,6,2.51487,4.231180000000001,6.14243,90.02993000000001,114.41280000000002,90.00272000000001,10.0
224,C-134173-4385-19,-154.5406225,227,2.48729,2.4873999999999996,8.24344,81.30914000000001,89.98547000000002,59.97543999999999,8.0
225,C-40126-7915-50,-154.16265516666667,12,2.46146,3.39656,6.06423,109.99007,101.68499,111.30111,6.0
226,C-130534-5496-37,-154.255122,1,2.43944,4.22629,6.52853,90.01494000000001,79.24906,89.98961999999999,10.0
227,C-142757-9743-7,-154.45451875,166,2.43115,4.65586,5.81552,114.04433,90.19185,104.93032999999998,8.0
228,C-126181-8319-23,-154.31375516666665,2,2.4818500000000006,3.6898000000000004,4.84124,57.444460000000014,75.06571,70.3074,6.0
229,C-53804-8031-30,-154.213998,1,2.4504,5.966049999999999,5.47797,56.68404000000001,63.47185999999999,65.90344,10.0
