
an: atomic number
ty: type of ion
os: oxidation state
od: default oxidation state
mass: mass in u
n: period
g: group
b: block. 0 for s; 1 for p; 2 for d; 3 for f
rc: covalent radii in A
sf: softness

an  ty  os od   mass   n g b  rc    sf     
 64 Gd   3  3 157.2500 6 0 3  1.660 0.08538
 65 Tb   3  3 158.9254 6 0 3  1.610 0.11187
 65 Tb   4  3 158.9254 6 0 3  1.610 0.99999
 66 Dy   3  3 162.5000 6 0 3  1.610 0.10780
 67 Ho   3  3 164.9303 6 0 3  1.610 0.10178
 68 Er   3  3 167.2590 6 0 3  1.610 0.10019
 69 Tm   3  3 168.9342 6 0 3  1.610 0.10516
 70 Yb   3  3 173.0545 6 0 3  1.610 0.10805
 70 Yb   2  3 173.0545 6 0 3  1.610 0.15535
 71 Lu   3  3 174.9670 6 3 2  1.610 0.08220
 72 Hf   4  4 178.4900 6 4 2  1.410 0.05000
 73 Ta   5  5 180.9480 6 5 2  1.310 0.04545
 73 Ta   4  5 180.9480 6 5 2  1.310 0.17543
 73 Ta   3  5 180.9480 6 5 2  1.310 0.17543
 73 Ta   2  5 180.9480 6 5 2  1.310 0.32162
 74 W    6  6 183.8400 6 6 2  1.210 0.03846
 74 W    5  6 183.8400 6 6 2  1.210 0.14843
 74 W    4  6 183.8400 6 6 2  1.210 0.16080
 74 W    3  6 183.8400 6 6 2  1.210 0.17544
 74 W    2  6 183.8400 6 6 2  1.210 0.32154
 75 Re   7  7 186.2070 6 7 2  1.210 0.03333
 75 Re   6  7 186.2070 6 7 2  1.210 0.14844
 75 Re   5  7 186.2070 6 7 2  1.210 0.13784
 75 Re   4  7 186.2070 6 7 2  1.210 0.15315
 75 Re   3  7 186.2070 6 7 2  1.210 0.17077
 76 Os   8  8 190.2300 6 8 2  1.160 0.03030
 76 Os   7  8 190.2300 6 8 2  1.160 0.13784
 76 Os   6  8 190.2300 6 8 2  1.160 0.12865
 76 Os   5  8 190.2300 6 8 2  1.160 0.13784
 76 Os   4  8 190.2300 6 8 2  1.160 0.14844
 77 Ir   5  5 192.2170 6 8 2  1.210 0.13784
 77 Ir   4  5 192.2170 6 8 2  1.210 0.11351
 77 Ir   3  5 192.2170 6 8 2  1.210 0.16081
 78 Pt   2  2 195.0780 6 8 2  1.210 0.19125
 78 Pt   5  2 195.0780 6 8 2  1.210 0.10156
 78 Pt   4  2 195.0780 6 8 2  1.210 0.13784
 78 Pt   3  2 195.0780 6 8 2  1.210 0.17543
 79 Au   3  3 196.9670 6 1 2  1.210 0.14844
 79 Au   1  3 196.9670 6 1 2  1.210 0.17705
 80 Hg   2  2 200.5900 6 2 2  1.360 0.12951
 80 Hg   1  2 200.5900 6 2 2  1.360 0.24034
 81 Tl   3  3 204.3830 6 3 1  1.760 0.09582
 81 Tl   1  3 204.3830 6 3 1  1.760 0.13967
 82 Pb   4  4 207.2000 6 4 1  1.660 0.07547
 82 Pb   2  4 207.2000 6 4 1  1.660 0.11831
 83 Bi   5  5 208.9800 6 5 1  1.460 0.06185
 83 Bi   3  5 208.9800 6 5 1  1.460 0.10135
 90 Th   4  4 232.0400 7 0 3  1.660 0.06900
 92 U    4  6 238.0300 7 0 3  1.610 0.03000
 92 U    6  6 238.0300 7 0 3  1.610 0.03000
 -1 Nh   1  1  18.0400 4 1 0  2.100 0.06993
 -1 du  -1 -1   1.0079 1 1 0  0.000 0.00000
DATA_END

#1: period of B is intentionally set to 1 as a special case
#2: Nh refers to pesudoatom NH4+
#3: D refers to deuterium
#4: Hx refers to biased H positions from X-ray diffraction
#5: du refers to hydrogen-like dummy anion
#6: Ox refers to an (immobile) oxide ion with sam parameters as O2-   
#7: Pauling = 1.35 * (Mulliken)^0.5 - 1.37
#   B 1 is dummy value from B 3
